deviceId,timestamp,ACC,BV,CR,GYR,LAT_LON,RPM_KM,Sl_No.,TEMP,TIME
VIM_2.4_3,1538238285618,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.970,3.960,3.980,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4312,"26,25,27","244,237,242,244,236"
VIM_2.4_3,1538238288100,"0.000,0.000,0.000","81,100,3.970,3.970,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4313,"26,25,27","244,243,237,243,-99"
VIM_2.4_3,1538238290920,"0.000,0.000,0.000","81,100,3.970,3.970,3.980,3.970,3.960,3.980,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4314,"26,25,27","243,237,243,243,-99"
VIM_2.4_3,1538238293098,"0.000,0.000,0.000","81,100,3.970,3.970,3.980,3.970,3.960,3.980,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4315,"26,25,27","237,243,244,236,243"
VIM_2.4_3,1538238295884,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.970,3.960,3.980,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4316,"26,25,27","244,236,243,244,-99"
VIM_2.4_3,1538238298638,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.970,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4317,"26,25,27","237,243,243,237,243"
VIM_2.4_3,1538238301115,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.970,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4318,"26,25,27","243,237,243,243,-99"
VIM_2.4_3,1538238303737,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.970,3.960,3.980,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4319,"26,25,27","237,244,242,238,-99"
VIM_2.4_3,1538238306417,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.970,3.970,3.950,3.960","5.010,5.010,5.010,5.010,-99.990","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,-99,0.0",4320,"26,25,27","243,243,237,243,-99"
VIM_2.4_3,1538238309035,"0.000,0.000,0.000","81,100,3.970,3.980,3.980,3.980,3.960,3.980,3.980,3.980,3.950,3.980,3.970,3.950,3.960","5.010,5.010,5.010,5.010,5.010","0.000,0.000,0.000","0.000000,0.000000","0,0,0,0,0,0.0",4321,"26,25,27","243,237,244,242,237"
